Plano:,Projeto:,Avaliador:,Orientador:,Vigência:,Área:,Subárea:,Programa:,Centro:
INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAS ORDINÁRIAS,EQUAÇÕES DIFERENCIAIS APLICADAS EM VIGAS E FLUIDOS,ADRIANO ALVES DE MEDEIROS,FAGNER DIAS ARARUNA,2016,Matemática,,PIBIC,
INTRODUÇÃO AOS SISTEMAS DINÂMICOS DISSIPATIVOS,EQUAÇÕES DIFERENCIAIS APLICADAS EM VIGAS E FLUIDOS,ADRIANO ALVES DE MEDEIROS,FAGNER DIAS ARARUNA,2016,Matemática,,PIBIC,
INTRODUÇÃO À ANÁLISE FUNCIONAL,SOBRE A TEORIA NÃO-LINEAR DOS OPERADORES ABSOLUTAMENTE SOMANTES,FAGNER DIAS ARARUNA,JOEDSON SILVA DOS SANTOS,2016,Matemática,,PIBIC,
ESPAÇOS MÉTRICOS E FUNÇÕES LIPSCHITZ,SOBRE A TEORIA NÃO-LINEAR DOS OPERADORES ABSOLUTAMENTE SOMANTES,ADRIANO ALVES DE MEDEIROS,JOEDSON SILVA DOS SANTOS,2016,Matemática,,PIBIC,
A TEORIA DO GRAU DE BROWER E ALGUMAS APLICAÇÕES,ANÁLISE NÃO LINEAR APLICADA A EQUAÇÕES DIFERENCIAIS ELÍPTICAS,FAGNER DIAS ARARUNA,UBERLANDIO BATISTA SEVERO,2016,Matemática,,PIBIC,
AVALIAÇÃO DA EFICIÊNCIA DO PROGRAMA BOLSA FAMÍLIA NA DIMINUIÇÃO DO NÚMERO DE FAMÍLIAS EM SITUAÇÃO DE POBREZA OU EXTREMA POBREZA E NO ATENDIMENTO ÀS CONDICIONALIDADES NOS ESTADOS DO BRASIL UTILIZANDO O MÉTODO DE ANÁLISE ENVOLTÓRIA DE DADOS (DEA),AVALIAÇÃO DA EFICIÊNCIA DO PROGRAMA BOLSA FAMÍLIA NOS ESTADOS DO BRASIL UTILIZANDO O MÉTODO DE ANÁLISE ENVOLTÓRIA DE DADOS (DEA),EUFRASIO DE ANDRADE LIMA NETO,ANA FLAVIA UZEDA DOS SANTOS MACAMBIRA,2016,Probabilidade e Estatística,,PIBIC,
A TEORIA DOS GRAFOS APLICADA À ANÁLISE DAS COMPONENTES CURRICULARES DO CURSO DE BACHARELADO EM ESTATÍSTICA DA UFPB,A TEORIA DOS GRAFOS APLICADA À ANÁLISE DAS COMPONENTES CURRICULARES DE UM CURSO DE GRADUAÇÃO DA UFPB,TARCIANA LIBERAL PEREIRA,ANA FLAVIA UZEDA DOS SANTOS MACAMBIRA,2016,Probabilidade e Estatística,,PIVIC,
MÉTODOS ROBUSTOS DE REGRESSÃO APLICADOS À DADOS DE NATUREZA INTERVALAR,MODELAGEM DE DADOS SIMBÓLICOS DE NATUREZA INTERVALAR,ANA FLAVIA UZEDA DOS SANTOS MACAMBIRA,EUFRASIO DE ANDRADE LIMA NETO,2016,Probabilidade e Estatística,,PIBIC,
AVALIAÇÃO DO MÉTODO DE AMOSTRAGEM DIRECIONADA AO RESPONDENTE (RESPONDENT DRIVEN SAMPLING - RDS) SOB A ABORDAGEM DE CADASTRO DUPLO EM PESQUISAS NA ÁREA DE SAÚDE,INFERÊNCIA SOB PLANOS AMOSTRAIS DE CADASTRO DUPLO,LUIZ MEDEIROS DE ARAUJO LIMA FILHO,HEMILIO FERNANDES CAMPOS COELHO,2016,Probabilidade e Estatística,,PIBIC,
TÉCNICAS DE AMOSTRAGEM EM SAÚDE SOB A ABORDAGEM DE CADASTRO DUPLO,INFERÊNCIA SOB PLANOS AMOSTRAIS DE CADASTRO DUPLO,LUIZ MEDEIROS DE ARAUJO LIMA FILHO,HEMILIO FERNANDES CAMPOS COELHO,2016,Probabilidade e Estatística,,PIBIC,
