"Plano:","Projeto:","Avaliador:","Orientador:","Vigência:","Área:","Subárea:","Programa:","Centro:"
"EM BUSCA DO CUIDADO: ITINERÁRIO TERAPÊUTICO DAS FAMÍLIAS DE CRIANÇAS COM DOENÇAS CRÔNICAS","CONDIÇÕES CRÔNICAS NA INFÂNCIA: CUIDADO NA ATENÇÃO PRIMÁRIA À SAÚDE","ALTAMIRA PEREIRA DA SILVA REICHERT","NEUSA COLLET","2015","Enfermagem","Enfermagem Pediátrica","IC-CNPQ",""
"AVALIAÇÃO DO EFEITO DA FRAÇÃO AQUOSA DAS FOLHAS DE CISSAMPELOS SYMPODIALIS EICHL. SOBRE A FUNÇÃO ERÉTIL DE RATOS NORMAIS E DIABÉTICOS","PRODUTOS NATURAIS E/OU SINTÉTICOS BIOATIVOS COM POTENCIAL TERAPÊUTICO HIPOTENSOR ESTUDOS IN VIVO E IN VITRO","MARIA DA CONCEIÇÃO CORREIA SILVA","ISAC ALMEIDA DE MEDEIROS","2015","Farmacologia","Farmacologia Autonômica","IC-CNPQ",""
"COLETA DE DADOS PARA FORMAÇÃO DO CORPUS ORAL FONOAUDIOLÓGICO DE DESVIOS FONÉTICOS E FONOLÓGICOS","CORPUS ORAL FONOAUDIOLÓGICO DE DESVIOS FONÉTICOS E FONOLÓGICOS - COFDEFF","LEONARDO WANDERLEY LOPES","CIRINEU CECOTE STEIN","2015","Fonoaudiologia","","PIBIC",""
"INICIAÇÃO AO ESTUDO DA ANALISE NO LINEAR E APLICAÇÕES","ANÁLISE NÃO LINEAR E CÁLCULO DAS VARIAÇÔES","UBERLANDIO BATISTA SEVERO","JOAO MARCOS BEZERRA DO O","2015","Matemática","Análise","PIBIC",""
"INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS PARCIAIS","EQUAÇÕES DIFERENCIAIS APLICADAS EM VIGAS E FLUIDOS","UBERLANDIO BATISTA SEVERO","FAGNER DIAS ARARUNA","2015","Matemática","Análise","PIBIC",""
"AVALIAÇÃO NA PROPORÇÃO DE OBESOS BENEFICIADOS PELO PROGRAMA BOLSA FAMÍLIA","GASTO COM ASSISTENCIALISMO E OBESIDADE NO BRASIL","LUIZ MEDEIROS DE ARAUJO LIMA FILHO","TATIENE CORREIA DE SOUZA","2015","Probabilidade e Estatística","Estatística","PIBIC",""
"MÉTODOS ROBUSTOS APLICADOS A DADOS DE NATUREZA INTERVALAR","MODELAGEM DE DADOS SIMBÓLICOS DE NATUREZA INTERVALAR","LUIZ MEDEIROS DE ARAUJO LIMA FILHO","EUFRASIO DE ANDRADE LIMA NETO","2015","Probabilidade e Estatística","Estatística","PIBIC",""
"PLANEJAMENTO AMOSTRAL EM SAÚDE SOB A ABORDAGEM DE CADASTRO DUPLO","INFERÊNCIA SOB PLANOS AMOSTRAIS DE CADASTRO DUPLO","TATIENE CORREIA DE SOUZA","HEMILIO FERNANDES CAMPOS COELHO","2015","Probabilidade e Estatística","Estatística","PIBIC",""
"AVALIADORES DE TREINAMENTO BASEADOS EM REALIDADE VIRTUAL USANDO REDES DE PROBABILIDADE FUZZY: A DISTRIBUIÇÃO NORMAL FUZZY.","ESTUDO E IMPLEMENTAÇÃO DE AVALIADORES DE TREINAMENTO PARA SIMULADORES BASEADOS EM REALIDADE VIRTUAL","TATIENE CORREIA DE SOUZA","RONEI MARCOS DE MORAES","2015","Probabilidade e Estatística","Probabilidade e Estatística Aplicadas","PIBIC",""
"PERFIL ESPACIAL E ESPAÇO-TEMPORAL DO DENGUE EM JOÃO PESSOA NOS ÚLTIMOS CINCO ANOS","ANÁLISE ESPACIAL E ESPAÇO-TEMPORAL DA MORBI-MORTALIDADE NA PARAÍBA","TATIENE CORREIA DE SOUZA","RONEI MARCOS DE MORAES","2015","Probabilidade e Estatística","Probabilidade e Estatística Aplicadas","PIBIC",""
